Entity,Code,Year,Police,Legislature,Government officials,Local government councillors,Prime Minister / President,Tax officials,Business executives,Judges and magistrates,Religious leaders,Traditional leaders
World,OWID_WRL,2013,68,61.0,61,,,,47,61,30.0,
World,OWID_WRL,2017,38,38.0,37,36.0,33.0,34.0,35,31,19.0,25.0
