Entity,Code,Year,"3.9.1 - Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population) - SH_AAP_ASMORT"
Belize,BLZ,2019,21
France,FRA,2019,10
Nigeria,NGA,2019,77
Turkmenistan,TKM,2019,87
