Entity,Code,Year,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)
Austria,AUT,2012,4.0
Bangladesh,BGD,2015,28.8
Ghana,GHA,2008,19.2
Malawi,MWI,2016,24.3
United Kingdom,GBR,2012,6.0
