Entity,Code,Year,Number of AI-related bills passed into law
China,CHN,2022,3
Portugal,PRT,2022,13
Russia,RUS,2022,9
Spain,ESP,2022,10
United Kingdom,GBR,2022,6
United States,USA,2022,22
