Entity,Code,Year,total_applied_phosphorous
Brazil,BRA,2009,1384418.337
Canada,CAN,2009,379008.3761
China,CHN,2009,6334222.385
India,IND,2009,4150851.573
Japan,JPN,2009,339823.237
Pakistan,PAK,2009,595726.0989
South Africa,ZAF,2009,127326.9084
United Kingdom,GBR,2009,164701.2344
United States,USA,2009,2728740.297
