Entity,Code,Year,"Indicator:Alcohol-attributable fractions, all-cause deaths (%) - Sex:Both sexes"
Bangladesh,BGD,2016,0.9
Brazil,BRA,2016,6.9
Fiji,FJI,2016,1.7
France,FRA,2016,5.8
Peru,PER,2016,6.9
Russia,RUS,2016,21.6
United Kingdom,GBR,2016,4.6
United States,USA,2016,4.9
