Entity,Code,Year,% global international CO2
Australia,AUS,2018,1.6534732479753893
Canada,CAN,2018,1.4621144513221764
China,CHN,2018,4.067194880338158
India,IND,2018,1.1505591402942152
South Korea,KOR,2018,1.440176117796685
Spain,ESP,2018,2.0950277705452502
United Kingdom,GBR,2018,3.7948277700611377
United States,USA,2018,7.4722841503816255
