Entity,Code,Year,4.1.1 - Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%) - SE_TOT_PRFL - Primary - Both sexes - Skill: Minimum proficiency in reading
Bahrain,BHR,2016,69.37
Finland,FIN,2011,99.2
Finland,FIN,2016,98.29
Togo,TGO,2014,15.8
Togo,TGO,2019,19.4
