Entity,Code,Year,Agriculture Application (Service),Transportation and Logistics Application (Service),Hospitality Application (Service),Professional Cleaning Application (Service),Medical Robotics Application (Service)
World,OWID_WRL,2020,8000,34000,11000,10000,12000
World,OWID_WRL,2021,8000,50000,20000,13000,15000
