Entity,Code,Year,Knowledge about HIV prevention in young people - Disaggregation: All sexes Young people (15-24) Yes to all questions
Belize,BLZ,2014,76.4
Belize,BLZ,2016,43.03
Jamaica,JAM,2012,39.04
Mauritius,MUS,2014,31.8
Tajikistan,TJK,2012,2.67
