Entity,Code,Year,Total aviation CO2 (Mt)
Australia,AUS,2018,19000043.446458437
Brazil,BRA,2018,14806588.187852409
Canada,CAN,2018,17157561.933038432
China,CHN,2018,94911021.7249814
Germany,DEU,2018,22171279.14370449
India,IND,2018,19375875.924739383
United Kingdom,GBR,2018,29849183.03472104
United States,USA,2018,181905085.80438295
