Entity,Code,Year,total_applied_nitrogen
Brazil,BRA,2009,3018529.497
Canada,CAN,2009,1964657.024
China,CHN,2009,31320162.34
France,FRA,2009,2218884.292
India,IND,2009,17477639.09
Malaysia,MYS,2009,498522.1451
Pakistan,PAK,2009,3043758.988
United States,USA,2009,13745065.19
