Entity,Code,Year,Indicator:Attribution of road traffic deaths to alcohol (%)
Canada,CAN,2017,29.6
China,CHN,2017,0.4
Honduras,HND,2017,6.8
India,IND,2017,4.1
Italy,ITA,2017,22.5
South Africa,ZAF,2017,57.5
Sweden,SWE,2017,24.0
Switzerland,CHE,2017,13.0
United States,USA,2017,29.0
