Entity,Code,Year,International aviation CO2 (Mt)
Australia,AUS,2018,12348113.442458438
Canada,CAN,2018,10919048.81611537
China,CHN,2018,30373750.428981397
India,IND,2018,8592358.421284774
Spain,ESP,2018,15645636.001350408
United Kingdom,GBR,2018,28339716.93021548
United States,USA,2018,55802906.080382995
