Entity,Code,Year,17.14.1 - Mechanisms in place to enhance policy coherence for sustainable development (%) - SG_CPA_SDEVP
Colombia,COL,2020,87.5
Colombia,COL,2022,100.0
Costa Rica,CRI,2020,91.25
Hungary,HUN,2020,42.5
Palestine,PSE,2020,92.5
Palestine,PSE,2022,87.5
Qatar,QAT,2020,100.0
Qatar,QAT,2022,100.0
Vietnam,VNM,2020,72.5
