Entity,Code,Year,Age-standardized death rate from snakebite envenoming
Brazil,BRA,2019,0.11
Central African Republic,CAF,2019,3.44
China,CHN,2019,0.01
France,FRA,2019,0.01
India,IND,2019,4.0
Indonesia,IDN,2019,0.09
Somalia,SOM,2019,4.5
South Africa,ZAF,2019,0.04
United States,USA,2019,0.01
World,OWID_WRL,2019,0.81
